tweet_id,favorites,retweets,user_followers,user_favourites,date_time
884562892145688576,24399,4937,6629276,132918,2017-07-11 00:00:02
884441805382717440,27099,5727,6629276,132918,2017-07-10 15:58:53
884247878851493888,73289,20683,6629276,132918,2017-07-10 03:08:17
884162670584377345,20470,3031,6629276,132918,2017-07-09 21:29:42
883838122936631299,21995,3496,6629276,132918,2017-07-09 00:00:04
883482846933004288,46129,10098,6629277,132918,2017-07-08 00:28:19
883360690899218434,22640,3733,6629277,132918,2017-07-07 16:22:55
883117836046086144,37369,6762,6629277,132918,2017-07-07 00:17:54
882992080364220416,24042,3984,6629277,132918,2017-07-06 15:58:11
882762694511734784,28433,4992,6629277,132918,2017-07-06 00:46:41
882627270321602560,27975,6173,6629276,132918,2017-07-05 15:48:34
882268110199369728,45145,11770,6629277,132918,2017-07-04 16:01:23
882045870035918850,29490,5053,6629277,132918,2017-07-04 01:18:17
881906580714921986,24392,3440,6629277,132918,2017-07-03 16:04:48
881666595344535552,50758,10829,6629277,132918,2017-07-03 00:11:11
881633300179243008,127,7,6629277,132918,2017-07-02 21:58:53
881536004380872706,49652,16195,6629277,132918,2017-07-02 15:32:16
881268444196462592,23152,5221,6629278,132918,2017-07-01 21:49:04
880935762899988482,17078,2817,6629278,132918,2017-06-30 23:47:07
880872448815771648,21385,3871,6629278,132918,2017-06-30 19:35:32
880465832366813184,28641,6376,6629278,132918,2017-06-29 16:39:47
880221127280381952,27183,4293,6629278,132918,2017-06-29 00:27:25
880095782870896641,27738,4420,6629278,132918,2017-06-28 16:09:20
879862464715927552,22387,3552,6629278,132918,2017-06-28 00:42:13
879674319642796034,312,10,6629278,132918,2017-06-27 12:14:36
879492040517615616,23507,3234,6629278,132918,2017-06-27 00:10:17
879415818425184262,106309,44810,6629278,132918,2017-06-26 19:07:24
879376492567855104,16842,3161,6629278,132918,2017-06-26 16:31:08
879130579576475649,0,6955,6629278,132918,2017-06-26 00:13:58
879050749262655488,22688,4784,6629278,132918,2017-06-25 18:56:45
879008229531029506,19042,2735,6629278,132918,2017-06-25 16:07:47
878776093423087618,19459,4189,6629278,132918,2017-06-25 00:45:22
878604707211726852,30408,7358,6629278,132918,2017-06-24 13:24:20
878404777348136964,0,1314,6629278,132918,2017-06-24 00:09:53
878316110768087041,0,6769,6629027,132916,2017-06-23 18:17:33
878281511006478336,7791,1314,6629278,132918,2017-06-23 16:00:04
878057613040115712,42236,6955,6629278,132918,2017-06-23 01:10:23
877736472329191424,80360,19486,6629278,132918,2017-06-22 03:54:17
877611172832227328,0,81,6629278,132918,2017-06-21 19:36:23
877556246731214848,22878,3893,6629278,132918,2017-06-21 15:58:08
877316821321428993,27479,5268,6629279,132918,2017-06-21 00:06:44
877201837425926144,27272,5695,6629279,132918,2017-06-20 16:29:50
876838120628539392,20780,3420,6629279,132918,2017-06-19 16:24:33
876537666061221889,23551,4689,6629279,132918,2017-06-18 20:30:39
876484053909872640,18859,2449,6629279,132918,2017-06-18 16:57:37
876120275196170240,28060,4778,6629279,132918,2017-06-17 16:52:05
875747767867523072,25327,4371,6629279,132918,2017-06-16 16:11:53
875144289856114688,22027,5014,6629280,132918,2017-06-15 00:13:52
875097192612077568,27562,6158,6629280,132918,2017-06-14 21:06:43
875021211251597312,25624,4797,6629281,132918,2017-06-14 16:04:48
874680097055178752,28021,4730,6629281,132918,2017-06-13 17:29:20
874434818259525634,0,15081,6629281,132918,2017-06-13 01:14:41
874296783580663808,26215,4196,6629281,132918,2017-06-12 16:06:11
874057562936811520,22785,4031,6629281,132918,2017-06-12 00:15:36
874012996292530176,34907,10683,6629281,132918,2017-06-11 21:18:31
873580283840344065,24415,4033,6629283,132918,2017-06-10 16:39:04
873337748698140672,0,1623,6629283,132918,2017-06-10 00:35:19
873213775632977920,7322,1623,6629283,132918,2017-06-09 16:22:42
872967104147763200,27582,5516,6629283,132918,2017-06-09 00:02:31
872820683541237760,14825,3780,6629283,132918,2017-06-08 14:20:41
872668790621863937,0,29,6629284,132918,2017-06-08 04:17:07
872620804844003328,20960,3795,6629284,132918,2017-06-08 01:06:27
872486979161796608,41024,9218,6629285,132918,2017-06-07 16:14:40
872261713294495745,34529,6481,6629285,132918,2017-06-07 01:19:32
872122724285648897,34759,8324,6629286,132918,2017-06-06 16:07:15
871879754684805121,38426,11520,6629286,132918,2017-06-06 00:01:46
871762521631449091,20461,3568,6629286,132918,2017-06-05 16:15:56
871515927908634625,20420,3541,6629286,132918,2017-06-04 23:56:03
871166179821445120,0,5830,6629286,132918,2017-06-04 00:46:17
871102520638267392,21140,5629,6629286,132918,2017-06-03 20:33:19
871032628920680449,22896,3901,6629286,132918,2017-06-03 15:55:36
870804317367881728,34030,6397,6629287,132918,2017-06-03 00:48:22
870726314365509632,120,3,6629287,132918,2017-06-02 19:38:25
870656317836468226,12591,2729,6629287,132918,2017-06-02 15:00:16
870374049280663552,83666,26996,6629287,132918,2017-06-01 20:18:38
870308999962521604,22096,4273,6629287,132918,2017-06-01 16:00:09
870063196459192321,37154,8610,6629287,132918,2017-05-31 23:43:25
869772420881756160,42979,10365,6629287,132918,2017-05-31 04:27:59
869702957897576449,28635,6529,6629287,132918,2017-05-30 23:51:58
869596645499047938,16215,3235,6629287,132918,2017-05-30 16:49:31
869227993411051520,20753,3919,6629287,132918,2017-05-29 16:24:37
868880397819494401,66653,14992,6629287,132918,2017-05-28 17:23:24
868639477480148993,0,2173,6629287,132918,2017-05-28 01:26:04
868622495443632128,27824,5966,6629287,132918,2017-05-28 00:18:35
868552278524837888,10346,2173,6629287,132918,2017-05-27 19:39:34
867900495410671616,24587,4327,6629287,132918,2017-05-26 00:29:37
867774946302451713,34579,7589,6629287,132918,2017-05-25 16:10:44
867421006826221569,16465,2616,6629287,132918,2017-05-24 16:44:18
867072653475098625,0,131,6629287,132918,2017-05-23 17:40:04
867051520902168576,32844,8186,6629287,132918,2017-05-23 16:16:06
866720684873056260,20505,5024,6629288,132918,2017-05-22 18:21:28
866686824827068416,19741,3628,6629288,132918,2017-05-22 16:06:55
866450705531457537,124657,36663,6629288,132918,2017-05-22 00:28:40
866334964761202691,53739,15081,6629288,132918,2017-05-21 16:48:45
866094527597207552,0,8708,6629288,132918,2017-05-21 00:53:21
865718153858494464,26174,5840,6629288,132918,2017-05-19 23:57:46
865359393868664832,27076,5226,6629288,132918,2017-05-19 00:12:11
865006731092295680,28629,8010,6629288,132918,2017-05-18 00:50:50
864873206498414592,33078,9124,6629288,132918,2017-05-17 16:00:15
864279568663928832,14952,3187,6629288,132918,2017-05-16 00:41:21
864197398364647424,30905,9372,6629288,132918,2017-05-15 19:14:50
863907417377173506,21123,4333,6629289,132918,2017-05-15 00:02:33
863553081350529029,15653,4362,6629289,132918,2017-05-14 00:34:33
863471782782697472,0,2597,6629289,132918,2017-05-13 19:11:30
863432100342583297,24390,5529,6629289,132918,2017-05-13 16:33:49
863427515083354112,2316,101,6629291,132918,2017-05-13 16:15:35
863079547188785154,8974,1155,6629292,132918,2017-05-12 17:12:53
863062471531167744,8775,2597,6629292,132918,2017-05-12 16:05:02
862831371563274240,19678,5318,6629292,132918,2017-05-12 00:46:44
862722525377298433,17517,3707,6629292,132918,2017-05-11 17:34:13
862457590147678208,21100,5218,6629292,132918,2017-05-11 00:01:27
862096992088072192,76697,24461,6629292,132918,2017-05-10 00:08:34
861383897657036800,37088,11243,6629293,132918,2017-05-08 00:54:59
861288531465048066,17687,4380,6629293,132918,2017-05-07 18:36:02
861005113778896900,17208,4005,6629293,132918,2017-05-06 23:49:50
860981674716409858,0,2271,6629293,132918,2017-05-06 22:16:42
860924035999428608,0,858,6629293,132918,2017-05-06 18:27:40
860563773140209665,7724,2271,6629293,132918,2017-05-05 18:36:06
860524505164394496,24311,5553,6629293,132918,2017-05-05 16:00:04
860276583193509888,18848,3656,6629293,132918,2017-05-04 23:34:55
860184849394610176,17186,6155,6629293,132918,2017-05-04 17:30:24
860177593139703809,0,32519,6629293,132918,2017-05-04 17:01:34
859924526012018688,20129,4313,6629293,132918,2017-05-04 00:15:58
859851578198683649,15853,3692,6629293,132918,2017-05-03 19:26:06
859607811541651456,19157,1660,6629293,132918,2017-05-03 03:17:27
859196978902773760,92885,31950,6629293,132918,2017-05-02 00:04:57
859074603037188101,34979,14380,6629293,132918,2017-05-01 15:58:40
858860390427611136,0,8583,6629293,132918,2017-05-01 01:47:28
